"","PRJNA701395:dmso:0ug_mL:PA14","PRJNA701395:lomefloxacin:0.3ug_mL:PA14","PRJNA701395:novobiocin:213ug_mL:PA14"
"PA14_03010",0.3318,0.6691,-6.8533
"PA14_03020",-0.0242,-0.3213,0.7463
"PA14_03030",1.22,-2.0769,10.6286
"PA14_03040",-3.2561,28.0975,49.4697
"PA14_03050",0.1064,-1.7694,-1.0261
"PA14_03070",-7.6319,26.685,12.9256
"PA14_03080",-0.0246,-1.3815,-2.9155
"PA14_03090",0.136,-0.6131,-20.5348
"PA14_03100",0.1169,0.3486,-0.3674
"PA14_03110",1.4877,2.9773,2.6734
"PA14_03120",-0.1762,8.9592,5.3668
"PA14_03130",0.0869,-0.1859,-5.8988
"PA14_03150",-2.6078,76.8296,20.9535
"PA14_03160",0.1189,2.1123,-3.0098
"PA14_03163",6.4319,153.4101,46.9684
"PA14_03166",1.3165,84.6857,30.1452
"PA14_03170",-1.5135,6.8939,5.7778
"PA14_03180",0.0278,1.3922,0.1203
"PA14_03190",-58.0913,469.3479,190.2039
"PA14_03200",-0.1758,16.2498,10.4706
"PA14_03210",3.7924,61.9775,77.0169
"PA14_03220",0.0801,6.3409,2.3621
"PA14_03240",0.0015,3.4571,2.1201
"PA14_03250",0.5194,8.2035,2.5043
"PA14_03265",-0.1014,5.1777,4.0935
"PA14_03270",0.5557,12.413,17.3858
"PA14_03285",0.1085,2.092,2.5858
"PA14_03290",-0.0703,17.0894,-8.6147
"PA14_03300",4.2277,106.6643,8.5882
"PA14_03310",-0.2602,1.6585,3.1826
"PA14_03320",0.8846,13.6774,4.2073
"PA14_03330",-0.045,4.8965,3.2705
"PA14_03340",1.0569,28.4959,25.433
"PA14_03350",0.4869,4.7926,0.6074
"PA14_03360",-0.3605,7.5996,0.5893
"PA14_03370",-3.3752,71.9076,5.6715
"PA14_03380",-0.0116,0.3193,-1.0464
"PA14_03390",-2.3477,18.1652,27.0474
"PA14_03400",-0.9895,9.146,7.6502
"PA14_03420",0.1159,0.6567,-1.87
"PA14_03430",0.0089,4.4537,-1.3136
"PA14_03450",0.0242,1.4463,4.8277
"PA14_03470",0.0816,0.8758,-4.8048
"PA14_03480",-0.1775,-0.5364,-1.763
"PA14_03490",0.3377,0.5036,-1.7267
"PA14_03510",0.5274,-0.7822,-9.6222
"PA14_03520",-2.129,-7.5234,-51.7659
"PA14_03530",-0.0984,1.6995,-1.1102
"PA14_03550",-0.1395,0.0477,-1.5614
"PA14_03560",0.048,1.3891,-4.3607
"PA14_03580",-0.0754,8.0046,-11.2458
"PA14_03590",-0.2189,1.7992,-6.292
"PA14_03610",0.0128,7.3249,3.0892
"PA14_03620",0.4902,3.1258,1.832
"PA14_03630",-0.324,5.3838,-29.7941
"PA14_03650",0.1111,1.0511,1.1693
"PA14_03670",0.2602,0.9241,1.4439
"PA14_03680",-0.0033,1.2997,2.2956
"PA14_03700",-1.3603,18.7417,31.4211
"PA14_03710",-1.9333,5.8032,9.8748
"PA14_03720",-0.238,7.9532,16.4877
"PA14_03730",0.0029,2.3115,3.0737
"PA14_03760",2.2567,10.0339,4.1972
"PA14_03770",-4.9459,22.6374,-4.6223
"PA14_03780",-0.7592,8.4453,2.845
"PA14_03790",0.186,5.8424,-0.1479
"PA14_03800",-0.0337,7.6914,12.5152
"PA14_03810",0.3321,5.484,6.1223
"PA14_03830",3.9113,52.5493,10.6821
"PA14_03840",82.4759,-127.0861,237.904
"PA14_03855",0.0985,-1.3755,0.4355
"PA14_03860",0.1747,0.895,5.4877
"PA14_03870",0.0478,2.508,3.6581
"PA14_03880",-6.1611,44.5812,51.4334
"PA14_03900",0.0495,2.9151,7.1016
"PA14_03920",-1.5935,-0.6042,7.8922
"PA14_03930",0.4151,-1.2759,3.5808
"PA14_03940",-0.1859,-2.1687,6.0825
"PA14_03950",-0.1578,-2.6117,1.725
"PA14_03960",1.8044,-5.0771,12.7645
"PA14_03980",0.1226,1.503,0.0796
"PA14_04000",-0.0461,0.4103,-1.8313
"PA14_04010",-22.5418,-121.1371,-451.7839
"PA14_04020",-0.1517,4.8025,0.7895
"PA14_04030",-0.0526,4.6475,-9.5205
"PA14_04040",0.8757,3.1548,-4.8326
"PA14_04050",-0.3749,15.5896,15.5309
"PA14_04060",-0.9064,4.1135,0.02
"PA14_04070",3.053,11.7994,-30.6867
"PA14_04080",-0.3246,-1.8683,-1.1315
"PA14_04090",-0.7852,-1.553,3.4732
"PA14_04100",0.0694,-0.5219,-1.4615
"PA14_04110",0.9041,10.4326,28.9369
"PA14_04140",0.5675,26.4155,53.4479
"PA14_04150",0.0766,5.2574,13.0083
"PA14_04160",0.0248,3.3577,5.354
"PA14_04180",1.696,33.0233,10.0451
"PA14_04190",-0.159,-2.4647,-3.6262
"PA14_04210",-1.7858,-9.4743,4.5317
"PA14_04220",0.6523,-3.3786,14.5878
"PA14_04230",-0.3518,-0.1774,17.1638
"PA14_04240",0.5924,-3.2897,14.5938
"PA14_04250",-0.0449,-1.8675,11.8053
"PA14_04270",0.0329,5.2636,-4.2859
"PA14_04290",-0.0769,0.9265,0.7155
"PA14_04300",-2.2288,21.202,3.1949
"PA14_04310",0.1487,3.5819,17.8164
"PA14_04320",0.0217,5.3009,10.1097
"PA14_04330",0.2847,7.9123,-0.1565
"PA14_04340",0.3256,5.1927,3.6598
"PA14_04350",0.0727,6.0856,5.6399
"PA14_04370",-0.7582,8.0804,16.7206
"PA14_04380",0.2313,1.2719,3.0312
"PA14_04390",1.6136,16.938,16.8591
"PA14_04410",0.0474,9.2804,29.0478
"PA14_04420",1.2054,15.7372,9.9732
"PA14_04430",-0.1337,4.268,-25.6136
"PA14_04440",2.2709,11.2666,-2.172
"PA14_04460",-0.2809,0.269,-1.6849
"PA14_04480",-0.4331,19.9405,17.0929
"PA14_04490",4.3731,24.9491,-34.1305
"PA14_04510",0.7989,9.6166,-21.9311
"PA14_04520",1.4383,2.8203,-11.2938
"PA14_04530",2.8306,9.8865,-15.0196
"PA14_04550",-1.172,1.7957,-4.7019
"PA14_04560",0.1222,5.8763,-1.6063
"PA14_04570",-0.8702,3.2404,-4.9526
"PA14_04580",0.1805,0.2119,-2.5083
"PA14_04590",-0.6546,3.3722,2.6044
"PA14_04610",0.087,6.6734,4.3308
"PA14_04630",-2.9695,27.3444,40.071
"PA14_04640",0.3382,3.8715,12.3143
"PA14_04650",0.257,0.2085,-1.8634
"PA14_04660",-1.4156,10.5423,22.3489
"PA14_04670",1.3527,4.9457,1.7174
"PA14_04680",0.9967,-2.1066,8.0831
"PA14_04690",0.0196,-0.9608,1.728
"PA14_04700",7.8559,39.321,-14.3759
"PA14_04710",-0.0737,9.3878,15.7732
"PA14_04730",0.4521,0.6004,5.0695
"PA14_04750",-0.041,1.1474,2.7409
"PA14_04760",0.0665,0.6176,2.0464
"PA14_04780",12.3466,-149.1508,-44.6795
"PA14_04790",-0.1531,-1.3384,-0.6559
"PA14_04810",0.2907,-3.3524,-1.2475
"PA14_04820",0.4901,0.8183,-2.8277
"PA14_04830",1.3235,5.3849,10.4855
"PA14_04840",2.2026,34.6982,92.5202
"PA14_04850",-6.8931,41.3507,75.5258
"PA14_04860",0.131,12.7777,27.7111
"PA14_04870",-0.3961,5.5171,11.1343
"PA14_04890",-0.0181,2.6939,3.6136
"PA14_04900",2.4126,55.7052,120.0907
"PA14_04910",-0.2248,3.6512,7.7735
"PA14_04920",0.5661,6.069,13.8149
"PA14_04930",4.904,30.6901,26.0257
"PA14_04940",-0.4012,2.5745,-1.7031
"PA14_04950",0.0295,3.5242,4.5106
"PA14_04960",0.0423,2.8538,-0.2164
"PA14_04970",0.1085,2.1163,0.8966
"PA14_04980",-0.1059,4.3244,6.3879
"PA14_05000",-1.5291,21.5185,48.3938
"PA14_05010",0.0201,1.6055,1.1741
"PA14_05020",0.0831,0.9144,-1.4061
"PA14_05030",0.3359,2.1569,0.4
"PA14_05040",0.0036,10.5367,3.5242
"PA14_05050",-9.5168,25.71,-0.1585
"PA14_05060",0.1412,-0.3964,-0.093
"PA14_05070",0.0106,-0.0562,-0.0688
"PA14_05080",-2.061,9.7401,7.2843
"PA14_05110",0.0156,3.1439,6.358
"PA14_05120",67.5082,180.7722,354.5661
"PA14_05130",0.0136,1.8473,3.0222
"PA14_05150",-0.212,7.8779,8.5147
"PA14_05160",0.6815,7.6894,5.4325
"PA14_05180",-0.6081,-7.3859,-7.7306
"PA14_05190",-0.6102,-3.1802,-5.3254
"PA14_05200",-0.4996,47.7865,-314.3648
"PA14_05210",0.0163,1.1735,0.7832
"PA14_05220",0.0643,3.2923,3.1801
"PA14_05230",-1.4929,19.3779,18.8181
"PA14_05250",-0.0471,1.0722,9.4824
"PA14_05260",0.9877,33.4924,117.5775
