"","MOCP_0110:ara:0.50000%:PA14_c26:270min:A","MOCP_0110:ara:0.12500%:PA14_c26:270min:A","MOCP_0110:ara:0.03125%:PA14_c26:270min:A","MOCP_0110:ara:0.00000%:PA14_c26:270min:A","MOCP_0110:ara:0.50000%:PA14_dhfR_c117:270min:A","MOCP_0110:ara:0.12500%:PA14_dhfR_c117:270min:A","MOCP_0110:ara:0.03125%:PA14_dhfR_c117:270min:A","MOCP_0110:ara:0.00000%:PA14_dhfR_c117:270min:A","MOCP_0110:ara:0.50000%:PA14_murA_c119:270min:A","MOCP_0110:ara:0.12500%:PA14_murA_c119:270min:A","MOCP_0110:ara:0.03125%:PA14_murA_c119:270min:A","MOCP_0110:ara:0.00000%:PA14_murA_c119:270min:A","MOCP_0110:ara:0.50000%:PA14_lpxC_c165:270min:A","MOCP_0110:ara:0.12500%:PA14_lpxC_c165:270min:A","MOCP_0110:ara:0.03125%:PA14_lpxC_c165:270min:A","MOCP_0110:ara:0.00000%:PA14_lpxC_c165:270min:A"
"PA14_21690",0.6753,-0.7642,0.5549,-1.4025,0.8747,1.1376,-0.0845,-0.2017,6.6498,6.7166,5.5677,3.4963,6.2377,4.6871,2.9498,3.6368
"PA14_21700",0.7712,-0.3888,0.1895,-0.8583,1.8689,0.2382,0.1131,-0.4724,0.9267,-0.5157,-0.5563,-0.5147,1.6778,-0.3328,-0.695,-0.434
"PA14_21710",2.0877,-0.4955,0.6522,-0.7174,1.2539,1.6689,1.2214,1.0598,2.8733,7.1711,4.7702,2.501,1.0685,-0.1283,0.417,-0.5177
"PA14_21720",1.093,-0.771,0.874,-0.7399,0.0601,-0.8432,1.1935,-0.3313,2.178,2.2817,2.4103,1.6602,1.585,-1.1869,0.2676,1.0782
"PA14_21730",1.7942,0.0396,0.2552,-0.567,0.6108,0.0429,0.2936,-0.5548,1.9758,2.5969,2.7913,3.2957,1.1704,1.6708,1.8293,2.4812
"PA14_21750",0.2355,0.1258,-0.0383,0.7531,-0.2158,-1.3391,0.6434,-0.0528,0.7633,-0.0049,1.0176,0.3999,-1.1839,-0.5025,-0.8693,0.7023
"PA14_21760",-0.4677,0.4085,0.9216,0.5584,-2.2435,-2.1416,-3.3019,-2.1994,-2.4064,-1.8577,-2.1925,-1.2316,-2.9882,-2.1228,-1.724,-2.0297
"PA14_21770",-0.0198,1.0021,-0.2572,0.0254,-2.1718,-1.015,0.0544,0.3725,-1.7302,-0.6009,-1.5162,-0.6847,-1.0908,-1.2884,-0.059,-0.7124
"PA14_21780",-0.1604,0.1652,0.7755,0.1437,-1.4848,-1.5071,-0.3861,-2.0805,-2.7395,-2.7036,-1.4239,-1.5988,-2.2647,-1.1899,-1.9449,-1.9658
"PA14_21790",-0.5908,0.2552,1.8774,0.4694,0.4812,-0.1432,-1.0709,-0.3694,-1.0971,-0.3191,-0.1299,0.3828,-1.4626,0.7533,0.8436,0.708
"PA14_21820",-0.4121,-0.8243,0.4439,0.276,-1.629,-1.751,-2.7372,-0.9537,-1.0918,1.0547,-0.2401,-0.9006,-1.5108,-0.4947,-1.1452,-1.9329
"PA14_21830",1.2114,0.2048,-0.8405,-0.8096,0.2955,0.0897,0.6659,0.4773,3.4368,2.8871,2.3709,1.4073,2.4148,1.9834,1.005,-0.1315
"PA14_21840",-0.7532,-0.3378,3.6159,-0.2313,1.2319,-0.219,-1.9043,-2.9147,-1.0886,0.2524,1.0151,1.0842,-0.8664,1.2988,1.3422,1.5199
"PA14_21850",1.1438,-0.2884,0.5474,-1.443,2.1206,-0.587,-0.3429,-1.375,2.4123,1.2756,1.7055,0.2294,2.3345,1.3117,1.5248,0.4665
"PA14_21860",0.3887,-0.0841,-0.1489,-0.4479,0.6695,0.178,-0.7788,0.8442,1.7293,1.7259,1.0382,0.4319,0.9785,0.9483,0.9101,0.9704
"PA14_21870",1.182,-0.8632,-0.9308,-0.3378,-0.9615,-2.8977,-5.2317,-2.8364,-3.5463,-4.476,-5.4013,-5.4979,-3.8949,-4.9795,-6.2847,-8.3418
"PA14_21880",1.3675,-0.6793,0.5014,-0.4514,2.1161,1.1707,-0.8003,0.0271,1.635,1.1138,0.5372,-0.5876,2.3336,0.5129,0.2751,-1.866
"PA14_21890",0.1834,-0.7863,0.1176,0.2705,1.0751,0.8461,0.5581,0.3887,2.8323,0.9955,1.94,-0.6624,1.901,1.2792,-0.055,0.5565
"PA14_21900",-0.9277,-0.1179,-0.2715,0.2766,-0.7287,0.0954,0.5436,0.8785,0.1625,0.8586,0.1988,0.8808,0.8318,2.2983,1.1815,1.0805
"PA14_21910",-0.4206,0.0652,-0.1688,-1.7351,-0.1071,0.063,0.2031,-0.6493,-0.0353,0.3965,-1.1055,1.1142,1.2218,1.567,1.9146,0.9459
"PA14_21920",2.6965,0.2414,0.9093,0.2916,-0.4439,0.2557,1.6214,3.3128,1.7517,1.7626,-1.2259,1.6504,0.8755,3.6059,-0.3953,-0.2415
"PA14_21930",0.1259,0.7444,1.2334,-0.6041,-0.2931,0.534,-0.4036,-1.0264,0.0203,-0.166,0.0192,0.9262,0.7676,0.1473,0.0516,0.3209
"PA14_21940",-0.2887,0.4491,1.3065,0.6789,0.6807,0.2708,1.4866,0.8743,1.0468,1.89,1.2026,1.594,0.3043,1.2597,0.9089,1.8373
"PA14_21960",0.5504,-0.5038,-0.7344,-0.3212,1.2446,-1.3902,-0.1236,-0.2629,1.0611,1.2028,1.0749,0.8297,0.6355,1.7229,0.6558,1.5576
"PA14_21970",0.3214,0.6275,-0.6262,-0.4836,2.1097,-0.1562,-1.2465,0.098,2.6237,2.0482,0.7839,1.7112,3.094,1.6214,1.373,2.7303
"PA14_21980",0.9932,0.8372,-0.1227,-0.8506,0.0634,-1.5326,-1.092,0.1358,1.1692,0.534,0.2119,0.034,3.0434,0.8816,0.2317,-0.1597
"PA14_21990",-1.4202,0.0068,-0.4096,0.4809,-0.5749,-1.0989,-0.7056,-1.2431,0.026,-0.9537,-0.6849,-0.9278,-0.4004,-0.3092,-0.1441,-0.6048
"PA14_22000",-1.3875,-0.5649,-0.0955,1.2225,-3.8263,-2.0459,-1.2965,-1.4011,-4.7691,-3.2156,-1.9479,-3.7518,-3.9021,-3.1663,-2.6067,-4.3205
"PA14_22010",-0.6052,-0.173,-0.0978,0.6271,-1.8111,-2.5815,-2.9681,-1.6907,-0.579,-1.3068,-0.6743,-2.1025,-0.8185,-2.5405,-1.4545,-2.7097
"PA14_22020",-0.8503,0.5008,-0.3879,0.63,-4.0629,-3.046,-1.8742,-0.8819,-2.4568,-0.9751,-0.3468,-2.3165,-3.5377,-3.4437,-1.648,-2.3704
"PA14_22040",0.3555,0.7253,1.4896,0.2547,-0.9795,-2.2329,0.0352,-1.1256,2.5582,3.4498,2.6082,0.0019,2.1646,3.5034,1.5511,1.9232
"PA14_22050",-0.4981,-0.0528,0.6934,-0.1012,-1.0802,-1.899,-1.3396,-2.1471,-1.673,-2.8953,-1.8047,-2.0523,-1.9788,-1.9611,-3.5637,-2.0796
"PA14_22060",0.2555,-0.3522,2.9038,0.1368,-1.4272,0.5261,-0.2166,-2.8207,1.7056,-0.6891,-1.1414,-1.6909,-0.7498,-2.9787,-1.4768,-1.6156
"PA14_22075",-0.6148,-0.3694,-0.3336,-0.9047,-0.5383,-0.7228,-0.4743,-1.3422,-1.4134,-0.2841,-2.3036,-1.5806,-2.0183,-1.5657,-1.9769,-1.4883
"PA14_22080",-2.1934,-0.7144,-1.2341,-0.011,1.4396,2.7512,2.7391,4.9368,3.506,4.5782,6.034,5.6914,4.928,7.7246,7.6044,6.1318
"PA14_22090",0.1881,0.4078,-0.0567,0.5063,-2.9118,-0.5708,-1.1089,0.1077,-2.0234,-2.6204,-2.4917,-1.1167,-2.0534,-2.546,-1.9894,-1.2898
"PA14_22100",0.4734,0.8026,-0.0696,-0.0177,-0.0705,-0.8703,-1.0314,0.7192,-0.8938,-0.4808,-0.2854,0.2578,-1.2055,-0.1745,-1.055,0.2496
"PA14_22110",0.2191,-0.2005,-0.6993,0.898,0.5855,-0.7703,-0.4225,0.6509,-0.0314,-0.0306,0.2221,0.5851,-0.2587,0.4319,0.135,0.4543
"PA14_22120",0.8236,0.3398,2.0072,-0.3263,2.016,1.0032,0.1779,-0.397,5.1476,5.2629,5.6343,5.7894,6.1398,3.9896,4.3885,3.9241
"PA14_22130",-0.0592,-0.3575,0.6477,-0.2289,-0.2266,-1.6832,-0.5219,0.7594,0.382,-0.4056,0.14,0.2438,0.4604,0.2855,0.2359,0.9267
"PA14_22140",0.202,-1.4025,-3.5351,-0.226,-0.2914,-3.0479,-1.8121,-4.0159,-3.2976,-2.8964,-0.9783,-2.0166,-1.9159,-3.7088,-2.9026,-1.6075
"PA14_22160",-0.7502,-0.4682,-1.1204,0.0999,-0.3436,0.0104,0.6231,-0.9171,-0.9684,-0.6797,0.1681,0.6315,-0.2576,0.6255,-0.2764,1.0682
"PA14_22180",0.7435,-0.0016,0.3934,1.464,-0.9183,-1.264,1.5659,-0.1242,-1.4843,-0.5846,-0.2305,0.1402,-2.3423,-0.7753,1.3067,0.0422
"PA14_22190",-0.3201,0.3112,0.697,0.7605,-1.1633,1.0383,-0.1101,0.9158,-1.4902,-1.5866,0.7099,0.6261,-1.2045,-0.0561,1.7094,1.5693
"PA14_22210",-0.3887,0.3916,-0.6366,-0.0133,-0.097,0.4659,-1.1681,0.3285,-0.6383,-0.4377,0.0668,0.3554,0.5615,0.4108,-0.3158,0.1031
"PA14_22220",-0.8452,-0.4886,-0.7785,-0.4044,-0.3494,-0.7247,-2.0492,-0.0119,-1.0027,-0.6676,-0.4672,0.0172,0.3294,-0.2244,-2.2797,0.5943
"PA14_22230",-0.29,0.1896,-0.7963,0.3956,-1.3695,-1.339,-0.7498,-0.8877,-0.5803,-0.411,-0.3049,-0.3032,-0.5085,0.0278,0.2151,0.0425
"PA14_22240",-0.9177,2.2264,2.5419,1.745,-3.2462,-3.8354,-3.8285,-4.9195,-3.2523,-2.8959,1.3973,0.0719,-2.1931,-0.9782,0.8665,1.5553
"PA14_22250",-1.7881,0.1188,-0.0758,-0.2999,-3.7247,-1.0597,-1.4429,-2.7037,-3.3808,-0.0483,-0.3259,-0.1077,-1.698,-1.5197,0.5803,2.8405
"PA14_22260",0.01,-0.6797,-0.4352,0.1431,-0.0595,-1.9043,-1.0009,-1.4695,-0.4149,-0.6738,-0.5936,-0.3603,-0.9129,0.0031,-1.0199,0.1151
"PA14_22270",-0.9548,-0.1666,-1.5326,1.1335,-3.659,-2.1495,-3.4555,-4.1792,-5.4395,-3.6686,-3.8416,-4.9312,-5.4766,-6.228,-3.5285,-3.8064
"PA14_22280",-0.5508,-0.1824,-0.7887,0.5766,0.147,0.0207,0.062,0.31,0.129,0.465,0.2087,0.842,-0.9604,-0.0177,0.2008,-0.3606
"PA14_22290",0.5529,-1.0181,-2.058,0.4545,-3.9551,-3.6926,-3.9676,-3.2609,-1.1148,-1.4901,-0.5529,-3.5512,-4.1206,-4.8253,-2.9078,-3.9331
"PA14_22310",-0.8319,-0.0459,0.3788,0.9882,-1.7273,-0.372,-0.8082,0.6889,-0.5278,2.6846,2.9204,2.6025,0.0028,1.1842,1.9514,-0.7345
"PA14_22320",0.0158,0.1079,0.9293,0.5568,0.7387,1.3353,1.7335,-0.279,-0.1399,0.8072,0.4672,-1.5912,-0.5535,1.2158,-0.8362,1.578
"PA14_22330",0.7154,-0.1987,-0.2104,-0.7987,2.6884,0.296,-0.4819,1.3487,2.4816,1.6833,0.1602,-0.0854,1.9353,0.083,0.7813,2.4758
"PA14_22340",0.1737,-0.1874,-0.3222,-0.5542,-0.3424,-0.261,-1.7839,-2.5568,-1.9252,-2.3965,-1.688,-1.9067,-1.3512,-2.956,-2.592,-3.9984
"PA14_22350",0.7723,0.0979,-0.0464,-0.9089,0.734,0.0111,0.082,-0.0192,0.33,-0.1529,0.0543,0.1526,0.1929,-0.4968,-0.161,-1.0814
"PA14_22370",0.5677,0.5357,-0.2257,-1.7529,-1.177,-4.7897,-4.5818,-3.8542,1.0674,-0.688,2.0105,-0.8173,1.0812,1.3027,-2.6935,-1.9963
"PA14_22380",-0.0299,1.018,-2.4792,-0.2595,2.7411,-2.5755,-3.071,-1.0492,1.0197,-1.0033,1.954,2.3097,1.1394,2.3688,1.5036,3.8747
"PA14_22400",0.7187,-0.5881,-2.0567,-0.7349,2.3261,0.5883,-0.7215,1.1047,1.8922,1.5999,1.229,0.9346,2.2193,2.862,3.3377,1.3166
"PA14_22410",-0.5829,-1.0283,0.0177,0.0169,-0.2162,-0.5646,0.2882,-1.5187,1.4135,0.2328,0.2064,0.1368,1.4001,-0.2145,-1.6644,0.9571
"PA14_22420",0.3529,0.1146,-0.1462,-0.5245,1.5968,1.4373,-0.0616,0.481,1.9013,0.1059,-0.467,0.0888,0.3172,0.8328,0.3974,-0.3635
"PA14_22440",0.6377,-0.7996,0.4864,-0.0819,-2.4949,-2.7513,-3.578,-4.6628,-2.1884,-2.089,-4.6462,-6.2249,-2.9828,-3.9914,-4.2525,-7.1953
"PA14_22450",-1.2528,-0.1423,0.4817,0.9712,-3.9827,-2.9923,-1.376,-0.4921,-4.7137,-3.1867,-2.7595,-2.6884,-4.483,-2.797,-3.5905,-3.9872
"PA14_22460",1.4111,1.0795,2.178,0.0887,3.3325,4.0866,3.3146,3.3274,2.8357,4.8668,5.3967,4.7817,-0.4271,3.1107,3.5147,3.8376
"PA14_22470",1.4247,-0.3583,0.0991,-0.5569,2.433,1.4924,0.8228,1.0162,2.4635,2.8387,2.2151,1.7621,3.1305,2.007,2.7996,2.1441
"PA14_22480",-0.5153,0.3859,-2.7904,1.5049,-0.1139,4.2387,1.5022,4.1779,-0.6782,1.5076,2.6317,3.7025,1.3334,1.9305,1.5085,5.2397
"PA14_22490",1.8,1.0116,0.0508,-0.4971,2.4725,-1.1775,1.163,1.4519,2.5525,0.8348,2.0915,1.662,2.0517,0.6872,-0.1466,0.9095
"PA14_22500",0.7148,0.531,-0.6622,0.5343,0.5667,0.8121,-1.7826,-0.2406,2.3546,0.9718,0.9094,1.6246,2.4844,1.2287,0.1462,1.1235
"PA14_22510",1.1018,0.049,1.9462,-0.7621,-1.0381,2.8969,1.1451,1.6183,0.087,-0.7992,1.7246,-0.3569,0.3158,-0.2927,-1.1441,3.749
"PA14_22520",1.7905,0.0912,0.7054,0.0071,1.9851,15.8672,2.6218,2.1486,3.6215,3.0787,0.3516,1.4129,4.4828,3.9397,0.9331,2.2997
"PA14_22530",1.9286,1.0462,0.8805,-2.2265,0.9658,4.9543,-0.8458,1.5362,3.5012,0.3494,2.7671,0.3498,1.185,2.8231,-0.3086,3.874
"PA14_22540",1.2696,0.2047,-0.8838,-0.7204,1.447,0.4537,0.6102,0.7374,1.9416,1.4784,1.1586,1.2619,2.4437,1.9466,0.954,2.2087
"PA14_22550",1.7478,1.999,-0.7694,0.0903,3.4197,1.1809,-3.8953,-2.3832,1.6568,0.4397,-0.8191,4.207,2.1675,0.9402,2.8218,4.6333
"PA14_22560",-0.3938,0.4653,0.3842,0.3728,-2.257,-1.8952,-0.874,-1.654,-2.066,-2.9461,-2.6317,0.0489,-2.3851,-0.5221,-2.6214,-0.3026
"PA14_22570",-0.0542,-0.2404,-0.5563,-0.0565,-0.5665,-0.0255,-0.4055,0.4435,-1.7839,-1.499,-0.8825,-1.1189,-1.1741,-1.4265,-0.3835,-0.7154
"PA14_22580",0.3896,-0.8338,0.9096,-0.4537,1.2657,0.8913,-0.1327,-0.0623,1.3395,0.0843,0.2635,-1.2164,0.3954,-0.455,-1.2321,-1.5926
"PA14_22590",0.8376,-0.2894,0.3364,-0.6928,-0.3539,-0.2792,-0.2738,-0.4441,0.9071,-0.1043,-0.8168,-0.6405,0.8384,0.1834,-0.0657,-0.69
"PA14_22600",0.799,-0.08,0.1458,-0.6893,-0.2082,0.0097,-0.042,-0.422,1.112,0.4431,-0.5478,-0.212,1.1157,0.4825,0.3012,-0.4458
"PA14_22620",-0.6211,-0.1848,-1.5151,0.6269,-0.3571,0.1394,0.1694,-0.3981,-0.5341,-1.0334,-0.2182,-0.4975,-1.249,-0.3065,0.1815,-0.8254
"PA14_22630",-0.5216,-0.8171,-1.4766,0.1956,0.7647,0.9412,-0.2609,-0.8305,0.0186,1.6677,0.7976,1.0978,2.3148,1.5945,1.7119,1.2336
"PA14_22640",0.9403,-0.2843,-0.1759,-0.7229,1.3297,0.6243,-0.1858,-0.9829,0.3199,0.1478,-0.1475,-0.6553,1.0992,0.9713,0.9364,0.7866
"PA14_22650",-0.0614,-0.0889,0.1955,0.3475,-0.7585,-0.8606,-2.6323,-0.9366,-0.2489,0.1712,0.7472,-0.4985,-0.0303,-0.9689,-1.2595,-2.5824
"PA14_22660",-0.236,-0.0691,-0.1014,-0.8656,-0.972,-0.8307,-0.3664,-1.4058,1.1552,0.0595,0.7596,-0.8104,0.8458,0.2964,0.3021,-0.9882
"PA14_22670",1.3344,0.347,1.4151,0.1032,1.0724,2.3783,0.1246,0.0091,3.6793,1.1911,1.0949,0.9745,2.6682,1.3928,0.7106,-1.0332
"PA14_22680",-0.0148,-0.445,0.2996,-1.2199,1.6192,-1.1089,-1.8094,-0.7803,3.7402,3.1179,0.9753,-1.4003,4.4514,2.4523,1.6942,-1.8473
"PA14_22690",0.6538,-0.3697,0.1138,-1.7189,0.758,1.9221,-0.4116,-3.588,-0.0785,-1.0211,0.0664,-0.4388,1.5482,-0.1909,0.6951,-0.2528
"PA14_22700",-0.6051,0.3293,-0.095,0.7765,-0.9322,-1.81,-0.5192,2.0583,-1.1854,-0.0477,1.0377,0.7602,-2.2487,-0.9755,0.3482,2.4053
"PA14_22710",1.0689,0.6869,-0.4947,-0.5313,-0.7069,-1.3507,-1.3513,1.0355,-0.3667,-1.2564,-1.1548,-0.1649,-1.3342,-2.3824,-1.0265,-2.4542
"PA14_22720",-0.6004,-0.7524,-0.0493,0.0353,-0.7554,-0.1224,-1.1771,0.7356,-2.447,0.1074,1.1383,1.0508,-3.4103,-3.3193,-0.9269,-1.3327
"PA14_22730",-0.058,-0.6912,0.2266,0.3471,0.9436,0.4505,1.8958,1.1317,0.8511,1.2295,1.595,1.7629,0.9416,2.0418,2.3186,3.0047
"PA14_22740",-1.008,-0.0849,-0.241,0.0863,-1.5473,-1.1757,-0.9763,0.4329,-1.0322,-1.106,-0.2889,-0.5016,-1.4153,-1.2913,-1.045,-1.2778
"PA14_22760",-0.6643,-0.0077,0.8842,0.3825,-1.5195,-1.0927,1.0781,-0.5539,-2.8884,-1.3645,-3.2526,-1.7174,-2.1217,-2.6958,-3.2341,-4.4495
"PA14_22770",-0.2067,0.0588,0.1534,0.2935,-0.7519,-0.5033,0.0805,0.1693,-0.2683,-0.2692,-1.4177,-1.2878,-1.5985,-1.9256,-1.3167,-1.4534
"PA14_22780",-1.5182,-0.6385,0.3914,0.948,-1.6406,-1.1621,0.1097,0.4588,-3.5812,-2.5803,-2.9871,-2.18,-2.8263,-3.1264,-2.6116,-2.8133
"PA14_22800",-1.1721,-1.0271,0.3953,0.3887,-0.9437,-0.534,1.1004,0.2376,-1.8723,0.5729,0.5801,-0.0128,-0.0884,0.2613,1.5078,0.8151
"PA14_22820",1.1359,-0.7601,0.3486,-1.3603,2.2182,0.3066,1.2704,-0.5731,2.5938,0.6971,0.1132,-2.089,2.174,1.2956,0.394,0.3602
"PA14_22830",0.4322,0.9843,0.714,0.1613,1.7805,1.8205,1.7271,1.5212,1.4524,1.1453,1.0681,2.7415,1.3954,0.6455,3.3894,1.2236
"PA14_22840",0.0663,-0.55,0.5288,-0.3556,-0.4327,-0.2175,-0.1259,-0.5273,-0.4426,-0.2399,-1.3826,-0.801,-1.2074,-1.3257,-0.9504,-1.274
"PA14_22860",0.6366,0.4979,0.7086,-0.1649,-0.3548,-1.8245,0.2975,1.2144,-1.8221,-3.156,-2.7649,-1.2692,-0.8341,-3.5406,-1.5058,-1.6534
"PA14_22870",-0.5478,0.6391,-0.5429,1.5815,-1.4969,-0.7118,0.6417,-0.5276,-1.1338,-1.631,-1.0469,0.8802,-1.8355,-2.2221,-2.0286,-2.5426
"PA14_22880",-1.0128,-0.3187,-0.6226,-0.4833,0.0168,-0.6267,-2.2256,-1.1425,3.1194,5.4904,3.9302,2.563,6.6357,5.4061,-0.0524,2.3408
"PA14_22890",0.3655,-0.3675,0.4161,-1.3124,-0.0907,-1.1521,-0.351,-1.0338,0.6189,0.2926,0.5987,-0.5103,1.6045,1.2176,0.5305,0.061
"PA14_22910",0.7072,-0.5882,0.6254,-1.048,0.618,-0.2236,-0.41,-0.8645,0.9251,1.1136,0.7386,-0.845,0.8817,0.7145,0.1652,-0.6939
"PA14_22930",0.5413,-0.3205,0.2204,-0.5557,-0.8144,-1.3325,-1.9787,-3.0549,1.1512,-0.2438,-1.002,-4.0701,0.04,-1.8487,-3.731,-3.1414
"PA14_22940",0.8207,-0.254,0.7274,-0.9245,0.939,0.0513,-1.7678,-1.776,0.7025,0.7777,-1.4204,-2.8429,1.6719,0.8124,-1.2783,-1.133
"PA14_22960",1.6461,-0.0127,0.1935,-0.8918,1.147,1.2572,-2.1503,-1.0577,2.2498,1.3155,0.5576,-0.5324,2.5684,1.6866,0.496,-0.7321
"PA14_22980",0.689,-0.1956,0.2383,-1.6366,-0.0396,-1.058,-1.3084,-2.3968,-4.7637,-6.145,-6.666,-7.1442,1.611,0.2184,-0.3403,-1.4678
"PA14_22990",-0.3711,-0.473,-0.625,-0.2965,-1.9289,-2.4014,-0.8686,-1.0873,-5.878,-7.3095,-8.1658,-6.5833,-0.3074,-0.0771,0.5206,0.6762
"PA14_23000",0.6164,-0.7996,0.4411,0.3886,-0.3975,-1.628,-0.1601,-0.555,-7.1676,-8.1608,-8.6383,-7.6906,1.2211,2.6869,1.3616,2.6507
"PA14_23010",2.6713,-0.7459,0.5413,-0.8353,0.5118,-3.3075,-2.0083,-1.7757,-7.1479,-9.2065,-9.24,-8.6893,2.8944,1.5863,1.7185,1.0816
"PA14_23030",1.6693,-0.1049,0.5283,-0.6172,1.8938,0.5624,-1.5502,-2.0548,-0.59,-2.5113,-2.8276,-2.8279,2.8452,1.8526,1.2296,0.2785
"PA14_23050",1.0575,-1.1708,-0.4594,-0.3584,1.6817,-0.5106,-2.0016,0.3563,0.3675,0.7795,0.5322,-0.8444,2.5858,0.6796,2.3868,0.4879
"PA14_23060",-0.2186,-0.5619,0.1352,-0.1663,-1.3509,-1.4721,-0.8501,-0.0531,-0.5453,0.0961,-0.4546,-0.5198,-0.6933,-1.0874,-0.1034,-0.1717
"PA14_23070",0.7431,-0.6822,0.5308,-1.4595,0.3562,-0.8304,-1.0366,-1.3721,0.1266,-0.083,-0.1796,-1.2071,0.3492,-0.2243,-0.3019,-1.1921
"PA14_23080",1.3081,-0.0746,0.2493,-1.7555,0.3366,-0.8806,-1.6538,-1.6751,0.7273,-0.4674,-1.6568,-3.0857,0.4052,-1.6003,-3.0626,-3.8663
"PA14_23090",2.8122,-0.1106,-0.0276,-0.9276,1.756,-1.737,-3.3944,-4.0921,3.5658,-0.5947,-2.4283,-4.404,1.6962,-1.5471,-3.4371,-6.6964
"PA14_23100",0.8509,-1.0237,0.6818,-0.0432,0.0781,1.2291,-1.1402,0.3328,0.9574,-0.1891,0.3214,0.2036,3.6278,1.0822,0.8768,0.417
"PA14_23110",1.8783,0.5516,0.1842,-0.8423,0.8226,0.9258,0.8462,0.3771,-0.4694,-0.1049,-1.6028,-0.0213,-1.2736,-0.955,0.7551,0.327
"PA14_23120",0.4256,-0.2725,0.1076,-1.3275,-1.4732,-2.7717,-1.2933,-1.3095,1.0775,0.1572,0.922,0.1818,3.5431,2.2288,-1.0605,-0.8608
"PA14_23130",0.9922,0.0272,0.0913,-0.8123,-0.0116,-0.3883,1.0167,-0.2032,3.3881,3.1884,3.2047,1.8746,1.7597,1.5284,1.4425,0.8506
"PA14_23160",-2.0612,0.4327,-0.8369,-0.6318,-3.3971,0.5278,-1.8188,-3.4087,-0.3746,-0.0767,-2.1345,-0.8995,-0.8197,-0.5959,-2.015,1.832
"PA14_23170",-0.8529,0.1925,0.4395,0.2774,-0.0076,-1.2932,-1.3805,-1.4685,-3.0694,-1.1326,-1.7556,-0.7676,-1.5504,-1.5517,-1.695,0.7202
"PA14_23190",-0.7923,-0.6474,0.9573,-0.0338,-1.902,-1.5201,-1.5208,-1.7139,-1.875,-2.6903,-2.4853,-2.0188,-2.3941,-3.1314,-2.8969,-2.5165
"PA14_23200",-1.6946,0.5941,-0.1021,0.5938,-1.8149,-0.2967,0.3094,0.9207,-2.6124,-0.7873,-0.2243,0.489,-3.1553,-2.1672,-0.2356,-0.4235
"PA14_23210",-0.3046,0.2278,0.0801,0.5389,0.1357,0.6969,1.0549,1.0356,-0.9202,-0.1899,1.434,0.5554,-0.3898,1.3862,2.2599,2.1733
"PA14_23220",-0.752,-0.7831,0.1873,-0.2446,0.3222,-0.5837,-0.351,-1.0375,0.2731,0.6861,0.6678,-0.9364,0.8948,1.5223,1.7064,0.4691
"PA14_23240",-0.1314,2e-04,2.1631,0.504,2.7289,0.5484,-0.2015,1.4265,0.4065,0.6235,-1.2865,-0.4606,1.114,0.1696,0.4047,-1.6312
"PA14_23250",-0.294,0.1158,-0.637,0.2507,0.3169,-0.0426,0.1848,-0.1848,0.4583,-0.745,-0.6299,-0.9182,-0.3751,-0.9866,-1.1908,-0.5153
"PA14_23260",-0.3099,-0.0144,-0.5847,0.0241,-0.5592,-1.5375,-1.0001,-0.9052,-2.3815,-2.2379,-2.1777,-3.1757,-2.3306,-3.3828,-2.3721,-3.2826
"PA14_23270",-0.9141,0.0731,-0.5367,-0.0841,-0.8406,-1.5837,-1.4876,-1.8323,-1.8854,-2.6221,-2.3413,-1.7683,-2.3514,-1.8583,-2.4503,-2.5838
"PA14_23280",0.4528,-0.5735,0.0251,0.7054,1.5963,3.5935,4.0476,3.3858,0.8959,0.5184,2.2976,2.3681,1.5988,2.4794,3.3341,2.3917
"PA14_23290",-0.2007,-0.7839,-0.2496,-0.6355,1.387,-0.4011,-0.5933,0.2026,-1.9609,-0.5387,0.1748,0.4186,-2.1056,0.244,-0.8118,-1.277
"PA14_23310",0.2712,-0.1244,0.4728,0.3558,0.9498,-0.944,-0.9326,-2.174,0.0214,-1.0219,-0.2183,-0.8872,-0.4048,0.1351,-1.3574,-0.9058
"PA14_23320",0.6235,-0.165,0.7761,0.616,0.6426,0.04,0.5003,0.019,0.2352,-0.3937,0.0103,-0.9139,0.8075,0.2658,0.6992,-0.5723
"PA14_23330",-1.0422,-0.3081,0.1389,0.3914,-2.7478,-1.7133,-1.7353,-1.3225,-3.8163,-2.9216,-2.9296,-2.8522,-3.4078,-2.4486,-1.4182,-1.7419
"PA14_23340",0.7596,-0.3191,0.23,-1.6619,0.3316,0.1346,-0.2993,-1.6102,1.4239,0.608,-0.3258,-1.5323,1.6231,0.5012,-0.0377,-1.5926
"PA14_23350",1.1155,-0.3259,0.6005,-1.4618,-0.2714,-0.2721,-0.2684,-1.1062,2.4186,2.4822,0.9972,-0.6377,2.9717,1.8298,2.0114,-0.3284
"PA14_23360",-0.0386,-0.0893,-0.4873,-0.733,-1.8162,-1.163,-1.6855,-0.4107,0.691,3.6888,3.8423,2.4608,1.34,2.4104,2.8216,1.4435
"PA14_23370",-0.893,-0.2928,-0.3154,0.2228,-6.5064,-4.004,-4.7496,-2.8964,-6.5835,-3.7395,-4.2108,-6.1622,-5.597,-6.0097,-3.7864,-7.026
"PA14_23380",-1.8041,-0.2916,-0.0219,0.1787,-5.3603,-3.9017,-4.2047,-3.8338,-4.1997,-3.2264,-3.5062,-4.7823,-3.8388,-3.6122,-3.5907,-4.9559
