"","MOCP_0066:carb:6400.00000uM:PA14:90min:A","MOCP_0066:imi:6.25000uM:PA14:90min:A","MOCP_0066:doxy:100.00000uM:PA14:90min:A","MOCP_0066:cip:0.78125uM:PA14:90min:A","MOCP_0066:col:12.50000uM:PA14:90min:A","MOCP_0066:fosfo:3200.00000uM:PA14:90min:A","MOCP_0066:water:0.50000%:PA14:90min:A","MOCP_0066:ami:6.25000uM:PA14:90min:A","MOCP_0066:clari:200.00000uM:PA14:90min:A","MOCP_0066:dmso:0.50000%:PA14:90min:A","MOCP_0066:pf3299:1.56250uM:PA14:90min:A","MOCP_0066:mrl494:50.00000uM:PA14:90min:A","MOCP_0066:a22:800.00000uM:PA14:90min:A","MOCP_0066:cbr4830:62.50000uM:PA14:90min:A","MOCP_0066:chir090:3.12500uM:PA14:90min:A","MOCP_0066:dmso:0.50000%:lpxC-hypo:90min:A","MOCP_0066:pf3299:1.56250uM:lpxC-hypo:90min:A","MOCP_0066:cip:0.78125uM:lpxC-hypo:90min:A","MOCP_0066:doxy:100.00000uM:lpxC-hypo:90min:A","MOCP_0066:water:0.50000%:murA-hypo:90min:A","MOCP_0066:fosfo:800.00000uM:murA-hypo:90min:A","MOCP_0066:cip:0.78125uM:murA-hypo:90min:A","MOCP_0066:doxy:100.00000uM:murA-hypo:90min:A","MOCP_0066:dmso:0.50000%:bamA-hypo:90min:A","MOCP_0066:mrl494:50.00000uM:bamA-hypo:90min:A","MOCP_0066:cip:0.78125uM:bamA-hypo:90min:A","MOCP_0066:doxy:100.00000uM:bamA-hypo:90min:A","MOCP_0066:dmso:0.50000%:gyrA-hypo:90min:A","MOCP_0066:cip:0.78125uM:gyrA-hypo:90min:A","MOCP_0066:pf3299:1.56250uM:gyrA-hypo:90min:A","MOCP_0066:doxy:100.00000uM:gyrA-hypo:90min:A","MOCP_0066:carb:1600.00000uM:PA14:90min:A","MOCP_0066:imi:1.56250uM:PA14:90min:A","MOCP_0066:doxy:25.00000uM:PA14:90min:A","MOCP_0066:cip:0.19500uM:PA14:90min:A","MOCP_0066:col:3.12500uM:PA14:90min:A","MOCP_0066:fosfo:800.00000uM:PA14:90min:A","MOCP_0066:ami:1.56250uM:PA14:90min:A","MOCP_0066:clari:50.00000uM:PA14:90min:A","MOCP_0066:pf3299:0.39100uM:PA14:90min:A","MOCP_0066:mrl494:25.00000uM:PA14:90min:A","MOCP_0066:a22:200.00000uM:PA14:90min:A","MOCP_0066:cbr4830:15.62500uM:PA14:90min:A","MOCP_0066:chir090:0.78125uM:PA14:90min:A","MOCP_0066:pf3299:0.39100uM:lpxC-hypo:90min:A","MOCP_0066:cip:0.19500uM:lpxC-hypo:90min:A","MOCP_0066:doxy:25.00000uM:lpxC-hypo:90min:A","MOCP_0066:fosfo:200.00000uM:murA-hypo:90min:A","MOCP_0066:cip:0.19500uM:murA-hypo:90min:A","MOCP_0066:doxy:25.00000uM:murA-hypo:90min:A","MOCP_0066:mrl494:25.00000uM:bamA-hypo:90min:A","MOCP_0066:cip:0.19500uM:bamA-hypo:90min:A","MOCP_0066:doxy:25.00000uM:bamA-hypo:90min:A","MOCP_0066:cip:0.19500uM:gyrA-hypo:90min:A","MOCP_0066:pf3299:0.39100uM:gyrA-hypo:90min:A","MOCP_0066:doxy:25.00000uM:gyrA-hypo:90min:A","MOCP_0066:fosmido:500.00000uM:PA14:90min:A","MOCP_0066:tobra:6.25000uM:PA14:90min:A","MOCP_0066:tmp:400.00000uM:PA14:90min:A","MOCP_0066:pol7080:0.32000uM:PA14:90min:A","MOCP_0066:tmp:400.00000uM:dfhr-hypo:90min:A","MOCP_0066:pol7080:0.32000uM:dfhr-hypo:90min:A","MOCP_0066:doxy:100.00000uM:dfhr-hypo:90min:A","MOCP_0066:dmso:0.50000%:dfhr-hypo:90min:A","MOCP_0066:water:0.50000%:dxr_kd:90min:A","MOCP_0066:fosmido:500.00000uM:dxr_kd:90min:A","MOCP_0066:cip:0.78125uM:dxr_kd:90min:A","MOCP_0066:doxy:100.00000uM:dxr_kd:90min:A","MOCP_0066:dmso:0.50000%:lptD_kd:90min:A","MOCP_0066:pol7080:0.08000uM:lptD_kd:90min:A","MOCP_0066:cip:0.78125uM:lptD_kd:90min:A","MOCP_0066:doxy:100.00000uM:lptD_kd:90min:A","MOCP_0066:ll37:12.50000uM:PA14:90min:A","MOCP_0066:fosmido:250.00000uM:PA14:90min:A","MOCP_0066:tobra:1.56250uM:PA14:90min:A","MOCP_0066:tmp:100.00000uM:PA14:90min:A","MOCP_0066:pol7080:0.08000uM:PA14:90min:A","MOCP_0066:tmp:100.00000uM:dfhr-hypo:90min:A","MOCP_0066:pol7080:0.08000uM:dfhr-hypo:90min:A","MOCP_0066:doxy:25.00000uM:dfhr-hypo:90min:A","MOCP_0066:fosmido:250.00000uM:dxr_kd:90min:A","MOCP_0066:cip:0.19500uM:dxr_kd:90min:A","MOCP_0066:doxy:25.00000uM:dxr_kd:90min:A","MOCP_0066:pol7080:0.02000uM:lptD_kd:90min:A","MOCP_0066:cip:0.19500uM:lptD_kd:90min:A","MOCP_0066:doxy:25.00000uM:lptD_kd:90min:A","MOCP_0066:ll37:6.25000uM:PA14:90min:A"
"PA14_48040",1.1437,0.1734,-0.1285,-0.9925,-0.6132,1.2985,-0.1327,-1.0438,-0.5693,0.0837,1.1377,2.0537,-0.2636,0.89,1.5712,-0.1094,1.016,-0.9352,0.4584,-0.3994,-0.166,-1.3572,-1.2606,-0.1876,1.3761,-0.912,-0.2258,0.0121,-0.7542,2.0562,0.1075,-0.0412,0.7019,-0.7113,-0.8023,0.8882,1.02,0.188,-0.3909,0.2477,1.7302,0.1298,-0.2216,0.4246,0.8919,-0.735,-1.1266,0.0473,-0.437,-1.0638,1.8408,-0.5341,-0.709,-0.533,1.4756,-0.9586,0.8273,-1.189,0.0513,1.4831,0.3563,1.5042,0.1686,-0.2595,0.1524,1.583,-0.43,-0.7134,0.5309,1.3978,-0.3006,-0.9563,1.2655,0.7662,0.4401,-0.3966,0.0912,-0.288,0.7383,-1.4843,0.8136,-0.5665,-1.5565,0.4838,-0.3246,-1.8325,0.4556
"PA14_48060",0.1098,0.2891,-1.2646,-0.6648,-1.4696,0.8874,0.3539,0.0707,-1.9704,0.3146,1.466,2.5425,-1.562,-0.941,1.792,0.5061,1.7283,-0.1205,-1.2498,0.1572,0.281,-0.0769,-1.3377,0.2136,1.913,-0.3905,-1.3775,0.6206,-0.4189,1.5919,-1.0917,-0.1118,0.013,-1.3387,-0.3562,-1.3396,0.6309,0.1842,-1.6789,0.7949,2.1099,0.7018,0.1998,1.1753,1.2101,0.1187,-1.1902,0.3218,0.0127,-1.3308,1.3451,-0.1599,-1.4817,0.0133,1.3879,-1.2305,0.7547,-1.0816,-0.8871,1.9579,-0.8621,2.0221,-1.4435,0.318,-0.7986,-0.6225,-1.4074,-1.5007,0.2258,1.1533,-0.5181,-1.5876,0.528,0.8175,-0.1175,-0.4637,1.4639,-0.6826,1.4203,-1.3937,-0.6944,-1.1502,-1.6236,0.3426,-0.6555,-1.4849,0.3107
"PA14_48090",0.2751,0.0088,-1.6027,-0.5187,-1.3193,1.6229,0.3703,-0.6291,-0.6365,0.5623,1.0633,1.1686,-1.3107,-1.1179,1.4497,0.7619,0.9934,0.1433,-1.2652,0.5562,0.5271,0.1328,-1.3021,0.6997,0.9408,-0.1183,-1.5317,1.4349,0.1529,1.2819,-1.49,0.317,0.1265,-1.2247,-0.1172,-1.0998,0.3582,0.3066,-1.2207,0.5691,1.5355,0.4544,0.4375,0.6911,0.969,0.1503,-0.6675,0.4991,0.1274,-0.8231,0.9038,0.1221,-1.0129,-0.0461,1.5473,-0.7106,0.8462,-0.9811,-0.5235,1.3521,-0.7881,1.3822,-1.3291,0.1751,-0.8953,-0.2651,-1.1237,-1.4243,0.1481,0.616,-0.5227,-1.4617,0.158,1.0676,0.1791,0.0398,0.8294,-0.4479,0.9537,-1.1743,-0.6069,-1.2454,-1.4092,0.4418,-0.4762,-1.4244,-0.2241
"PA14_48100",0.7639,0.5529,-1.3903,0.0358,-1.421,2.0158,0.6088,-0.2803,-1.1101,0.5579,1.5103,1.9614,-1.1296,-0.3644,1.7019,0.7955,1.7042,0.2518,-1.478,0.8226,0.966,0.4741,-0.9426,0.9471,1.2552,0.0661,-0.8985,1.0196,0.1474,1.2303,-1.2833,0.0977,0.0343,-1.2769,-0.3342,-0.7838,0.9215,0.339,-0.296,0.6417,1.8043,0.1046,0.5282,0.4708,0.7296,-0.025,-0.7214,0.7889,0.2739,-0.3197,1.2791,-0.0445,-0.7373,-0.3161,1.2904,-0.5948,1.3542,-0.7056,-0.5325,0.9946,-0.2289,1.2506,-1.2673,0.1999,-1.0827,-0.1882,-0.7004,-1.5419,0.0304,1.175,-1.0034,-1.3466,-0.097,0.8773,0.058,-0.4968,0.6544,-0.5395,0.6092,-0.9598,-0.4223,-0.8822,-1.7483,0.0301,-0.5861,-0.9895,0.1076
"PA14_48115",0.5106,0.5226,-0.3559,-1.0124,-2.1349,2.9417,0.5613,-0.6296,0.0521,1.0759,1.6498,2.2112,-1.2396,-1.1014,1.8605,0.8199,1.3264,-0.5988,-0.3275,0.7736,0.9838,0.1251,-0.0725,0.3101,1.4396,-0.8014,-0.2411,1.1145,-0.313,1.4514,0.129,0.2727,-0.0549,-0.6301,-0.6526,-1.0475,1.7375,0.5627,0.3227,1.1664,1.2297,0.1008,1.5914,0.26,1.0344,-0.2435,0.0387,1.0795,0.0932,-0.6924,0.9807,-1.0731,-0.9371,-0.2509,1.0417,-0.2768,1.4427,-1.5055,-0.8606,1.0998,-0.7445,1.1411,0.1012,0.8529,-1.4342,-0.8796,-1.3697,-0.1391,0.6578,0.798,-5e-04,0.035,-0.4589,1.1561,0.1495,-0.4835,0.4005,-0.5274,0.9594,-0.3398,-0.9908,-1.4436,-1.4883,0.1474,-1.3032,-0.2714,-0.4857
"PA14_48140",0.1666,-0.5035,0.4827,-1.425,-2.8129,2.1195,0.2273,0.6899,-0.0694,0.5336,1.7831,0.4312,-1.4789,-0.6723,1.2174,0.8872,1.4217,-0.9108,0.847,0.5206,0.3876,-0.2226,0.0929,1.0696,0.7669,-0.5641,0.3361,1.3312,-0.9034,2.0537,0.5823,-0.3571,-0.7335,-0.6084,-1.1707,-1.2234,0.4498,0.5696,-0.2083,1.2003,0.72,-0.213,0.1954,1.0611,1.3418,-0.6143,0.4354,0.3376,-0.1764,-0.9799,-0.1405,-0.3056,-0.2644,-0.5808,1.5126,-0.1832,2.0143,-1.1175,-1.5281,0.2055,-0.9017,0.5984,0.5601,0.3746,-0.8241,1.1073,-2.0948,-0.842,0.9462,1.0645,-0.6635,0.3801,0.128,1.0325,-0.5288,-1.483,0.196,-1.314,0.3595,-0.7555,-0.2073,-1.6103,-1.8354,0.2275,-0.9922,-0.6893,-0.2113
"PA14_48150",-0.45,-1.5139,0.8863,1.027,-1.7494,0.0396,0.4908,0.2138,0.5221,0.515,0.3828,-1.0567,0.5046,0.3426,-0.3046,0.6055,-0.1022,1.1597,0.4942,0.4567,-0.4236,1.3012,1.1236,0.4796,-1.9682,0.6716,0.548,0.5413,0.6183,0.1948,0.8699,-0.2125,-1.7521,0.0058,-0.0887,-1.4451,-0.6128,-0.0467,0.3244,-0.2314,-1.5749,-0.7291,-0.6872,0.2507,-1.1279,-0.4767,0.7706,-0.8565,-0.4938,0.2328,-1.5696,-0.1178,0.5968,-0.3257,0.3148,0.5391,-0.1272,-0.0073,0.3959,-1.8642,0.4728,-1.0141,0.6345,0.0803,-0.4634,-0.8181,0.7318,0.8042,0.2729,0.3345,1.9901,0.9493,-1.2688,-0.7124,-0.2933,-0.428,-1.3991,-0.7949,-2.046,-0.1808,-2.0794,-1.9668,-0.774,-0.4231,-0.7399,-0.1006,-2.2534
"PA14_48160",1.9718,2.1584,-0.1159,-0.5137,2.3515,2.1633,-0.3232,-1.8441,-1.1842,-0.0428,1.0441,2.3173,0.6284,2.2598,1.5902,0.2249,1.6339,-0.4669,-0.2274,0.1581,2.505,0.2625,-0.2035,-0.4803,1.8096,-0.7461,0.0136,0.153,-0.8351,1.4913,-0.2392,0.4018,1.691,-0.241,-1.0455,3.5546,1.76,-0.2589,-1.4294,0.8601,1.2742,0.7882,-0.7093,1.2957,1.1878,0.1273,-0.8419,1.4434,-0.2464,-0.9818,1.0631,-1.2331,-0.1901,-0.7311,0.6324,-0.589,-0.4387,-0.9159,0.6442,3.5704,0.2836,3.6025,-0.3039,-0.073,-0.7554,-0.3428,-0.7167,0.273,-0.3265,3.0572,-0.9927,-0.4754,1.4155,0.2846,-0.669,-0.5023,3.2779,0.1268,2.6499,-0.1517,-0.4147,-0.5569,0.3189,1.3459,-0.6669,0.6336,1.1235
"PA14_48170",0.5034,0.2521,2.0668,-1.0807,0.6607,0.6548,0.0082,1.192,0.6712,-0.0856,0.037,1.1351,1.4875,3.0979,0.0757,-0.4154,-0.2081,-0.5465,1.3801,-0.6201,0.5141,-0.938,1.0107,-0.5088,0.3334,-1.0062,1.8797,-0.4485,-0.8307,-0.0727,1.7411,-0.2264,0.1554,1.5156,-1.0379,2.1559,0.5367,-0.3793,0.515,0.0851,0.1769,0.9786,0.1618,-0.6216,-0.2397,-0.9325,0.9974,0.2298,-0.79,0.9209,-0.2023,-1.2639,1.1534,-0.3319,-0.5327,1.2294,-0.8086,1.9831,0.0199,0.8995,-0.025,1.2309,1.6067,-0.4481,-1.0318,-0.7677,-1.4827,1.999,-0.4227,0.4539,-0.7698,1.8877,0.2054,0.025,-0.3723,-0.5372,1.1071,0.0702,0.8473,0.8104,-0.8938,-1.1548,1.1817,-0.3252,-1.0987,2.0957,-0.5082
"PA14_48190",0.1408,-0.6363,4.2028,-0.478,0.3509,-0.943,0.2484,3.0839,2.0894,0.0756,-0.4356,0.201,2.7889,0.6246,-1.4719,-0.1792,0.0395,-0.2356,4.2516,-0.0024,-0.5128,-1.5474,2.1548,0.5738,-0.8204,-0.9956,4.1843,-0.189,-1.1315,0.0215,4.9525,0.0692,-0.1714,2.4595,-0.3541,1.089,-0.2208,-0.2041,2.4229,-0.4086,0.1785,0.5429,-1.0113,0.0399,-0.3764,-0.078,2.5252,-0.7115,-0.6585,1.2589,-0.4848,-0.2663,2.4812,-0.2001,-0.4534,2.5335,-0.1524,3.8447,-0.5444,-0.7994,-1.1499,0.0506,4.3712,-0.2047,-0.4391,-0.7557,0.0863,2.9153,-0.0995,-1.703,-1.3363,4.6095,-0.3315,0.3182,0.7433,-1.0277,-0.6079,-0.2905,0.8374,2.18,-0.3569,-0.2983,2.639,-0.2741,-0.0802,3.0093,-0.066
"PA14_48200",-0.0482,-0.4238,2.515,-0.516,-0.2201,-0.3668,-0.3378,1.1307,-0.3765,-0.4436,0.3844,0.0916,6.2889,-0.6314,-0.4424,-0.2337,-0.4375,-1.4801,1.8268,-0.5176,0.3772,-0.25,1.5536,-0.0861,0.2995,-0.5409,1.9978,-0.2692,-0.0203,0.3446,2.9286,-0.2009,-0.4786,0.964,-0.4165,0.111,-0.3247,-0.2511,-0.5166,-1.4264,2.1761,0.765,-0.5002,0.3729,0.2395,-0.0838,0.7674,0.1873,0.0272,0.8228,-0.4087,-0.4515,-0.192,-0.2109,-0.3734,3.1589,-0.1256,1.3845,-0.6784,0.442,-0.8846,0.2763,1.7224,-0.4943,-0.0897,-0.644,-1.08,1.7879,-0.2198,0.3013,-0.9433,2.4448,-0.3408,-0.2496,-0.3006,0.9186,0.344,-0.8755,0.2575,1.058,0.2797,0.9715,1.4262,-0.381,-1.0867,0.8205,0.7494
"PA14_48210",0.1834,-0.2623,1.1698,-0.8229,-0.1996,0.0125,-0.1021,0.139,0.1679,-0.0921,0.5182,-0.3374,2.325,-0.9652,-0.0104,0.3707,0.088,-1.0937,0.3406,0.3066,1.1274,0.1415,0.6821,0.2682,-0.2925,-0.1267,0.7722,0.4708,-0.3207,-0.468,1.1957,-0.186,0.2166,0.0465,0.1252,0.1605,0.3666,-0.2302,-0.6751,-0.4658,3.0177,-0.7617,0.8809,0.4299,0.1687,0.6623,-0.7204,1.1098,-0.7147,-0.5206,-0.4452,0.445,-0.5213,-0.6203,0.5169,0.2756,-1.0909,0.5857,0.0797,1.2303,-1.4885,0.4219,0.4474,0.0741,0.3612,1.0225,-1.4127,0.9475,-0.3349,0.1575,-0.3369,0.8664,-0.1454,-0.908,-0.1764,0.1048,-0.0632,-0.3702,0.2263,0.3761,0.1786,-0.2008,-0.2933,0.4562,-0.4777,1.0149,1.4927
"PA14_48230",-0.1899,-0.0854,-0.223,0.1408,-0.2664,-0.3993,-0.2261,0.1552,0.4017,0.2217,0.0649,0.5607,0.1962,-0.1071,-0.1298,-0.4201,0.2101,-0.1607,0.0878,-0.1952,-0.0192,0.1302,-0.2544,0.0255,-0.1637,0.1475,-0.1404,0.1994,0.7816,-0.2628,-0.3227,-0.0753,-0.0664,-0.2822,0.1289,-0.3879,-0.4455,-0.4487,0.6385,0.3198,0.4767,-0.2838,-0.1693,0.6369,-0.3135,0.1686,-0.4029,-0.3899,0.0726,-0.2128,-0.5047,0.3698,-0.2013,0.071,0.2476,0.1291,0.3363,0.2044,0.4396,0.2161,-0.6745,1.0025,0.1945,-0.0139,0.4214,-0.2508,0.4754,0.6095,0.122,-0.1153,0.4631,0.3997,0.4653,-0.6745,-0.3085,-0.0447,-0.171,0.2149,-0.3809,-0.3067,-0.0372,-0.0084,-0.6745,0.1232,-0.2733,-0.1565,0.2452
"PA14_48240",0.5443,0.2346,0.7857,-0.6445,0.2965,-1.0154,-0.3593,-0.8217,0.176,-0.147,-0.7906,0.4197,1.3235,0.9102,-0.4437,-0.5294,0.2881,0.8077,-0.4914,2.0316,1.8731,2.7429,0.6464,0.4685,0.5117,-0.2798,-0.1215,0.2426,-1.1061,-0.258,0.4104,-0.4879,0.3444,0.676,-0.3005,0.8415,0.8409,-1.4976,-1.1369,-1.7569,0.1166,-0.7362,-1.1767,-0.4345,-0.0224,-1.7569,-0.2119,3.4894,1.2553,0.7196,-0.1163,-0.1631,-0.0621,-0.3586,-0.7371,0.3249,-1.7569,0.4887,0.5265,0.7044,-0.0356,0.2679,1.6555,0.0449,0.1166,-0.5622,-0.4364,0.7904,-0.451,0.6202,-0.4505,0.9325,-0.448,0.8923,-0.5851,-0.7643,0.5043,-0.4719,0.4895,0.1299,0.6309,-0.0691,0.3345,0.086,-0.2154,0.4408,0.8202
"PA14_48280",0.0102,0.4862,-0.1655,0.1295,-0.1454,0.4928,-0.4324,1.4037,-0.5048,0.1511,-0.3408,0.9384,0.1628,1.0737,0.0738,-0.1114,-0.8058,-0.5329,-0.0282,0.4862,1.9882,0.1375,0.3585,0.1717,0.7704,-0.397,-0.2271,-1.0551,-0.2637,0.9378,0.2119,0.1572,-0.2561,-0.5688,-0.0821,0.7161,0.8894,-1.2678,0.5737,-0.5473,-0.0467,0.2387,-0.5804,-0.4125,-0.4721,0.1715,-0.5959,2.1921,0.2622,-0.024,0.1206,0.3022,-1.1671,1.275,0.046,-0.7288,-0.0106,-0.0652,0.4651,0.4713,0.1303,0.3882,1.0552,0.2541,-0.3444,-0.2525,0.9843,0.1229,0.3514,0.9971,0.5875,0.701,-0.0243,0.1496,-0.7943,-0.1579,-0.3682,-0.7992,-0.2013,-0.4124,0.2787,-0.4035,0.0904,0.7077,-0.0406,-0.837,1.1714
"PA14_48300",-0.4444,-0.2211,0.011,-0.266,0.0037,-0.9745,-0.4084,0.7958,-0.164,0.0414,-0.8534,-0.3831,1.7343,0.2122,-0.2103,0.0789,0.4319,0.0179,0.4429,0.734,1.7585,1.4281,0.7628,0.442,0.0252,-0.4059,0.3034,0.7654,-0.6026,-0.6926,0.4908,0.2662,-0.5047,-0.0191,-0.2192,0.4741,-1.1141,-0.6076,-0.0817,-0.9978,0.2852,-0.0299,-0.3713,0.511,-0.6542,-0.0051,-0.4944,3.7266,0.4052,0.346,0.1431,1.0588,0.5241,-0.9759,0.2417,0.586,-0.968,0.6304,3e-04,0.2269,0.3105,-0.1014,0.8663,0.2101,-0.5333,0.3888,-0.4492,0.8103,-0.6766,0.1308,0.0954,1.7052,0.06,-0.1864,-0.4563,-0.6913,0.9332,-0.9052,0.1942,-0.423,-0.1901,0.6262,1.166,-0.2905,0.5074,0.5512,0.4409
"PA14_48310",0.0319,-0.3448,-0.4553,-0.8648,-0.5722,-0.8241,0.0824,1.9904,0.7587,-0.1443,-0.3129,-0.8123,3.1673,1.0579,1.4311,0.1523,1.4877,-0.7738,0.0258,0.6015,-0.1101,-0.3506,-1.6085,-0.3873,0.1671,-0.3486,-0.7305,0.3092,1.349,0.058,-0.1015,0.2899,-0.2813,-0.1666,-0.0497,0.156,-0.3459,0.177,-0.152,-0.4772,-1.0067,-0.5197,-0.4688,0.6822,-0.3366,-0.3689,-0.5097,0.027,-1.049,-0.73,0.2975,0.0756,-0.6573,1.2326,0.897,-0.6273,1.182,0.9517,0.0411,-0.4505,-0.1024,-0.1957,0.5983,0.2694,0.1953,1.6435,-0.6672,-1.5597,0.2776,0.3205,-1.1448,-0.0345,-0.5017,0.7677,0.2521,0.1784,-0.2548,-0.0864,-0.2203,-1.006,0.8847,-0.0369,-0.4394,0.4197,-0.4007,-1.1856,0.1869
"PA14_48320",0.0363,-1.0678,1.479,0.1182,0.423,0.4581,0.0918,1.5853,1.1882,-0.3792,-0.3108,-0.2488,1.5768,1.7407,-1.5657,-0.4037,-0.3002,-1.2932,0.9513,-0.5028,-0.4397,-0.8404,-1.0409,0.3893,-0.0842,-0.243,0.527,0.05,0.8983,-0.0186,0.2494,-0.4238,-0.7223,-0.2138,-0.4505,0.3979,-0.2839,0.0384,0.2718,-0.7523,-0.871,1.3722,1.2801,0.3439,0.0336,-1.0525,0.4325,-0.1359,-1.9819,0.7192,0.2486,0.2097,-0.2108,-1.1003,0.0071,-0.333,-0.0129,0.9543,0.5103,-1.4528,-0.4657,1.0525,1.1754,-0.0909,0.4285,0.9692,-0.9565,0.6144,-0.0289,-1.105,0.3431,1.5713,-0.6863,-0.0093,0.073,1.1028,-0.2746,0.0338,-0.4122,0.5599,0.0982,0.6997,-0.0528,-0.4578,0.9634,-0.3535,-1.9766
"PA14_48340",0.959,0.2491,0.2911,0.1557,0.7021,-0.2263,-0.1302,-0.8604,-0.1983,-0.6248,0.3929,0.8291,1.3159,-0.3489,0.8005,0.0253,-0.6228,-0.7935,-0.2494,1.5881,1.6151,0.8792,0.7595,-0.623,-0.3499,0.0288,0.1526,0.333,-0.1121,-0.229,0.6466,-0.1924,-0.2427,0.2945,0.1649,0.5304,-0.6301,-0.565,0.1718,0.0479,-0.9155,-0.4854,-0.0051,0.7434,0.3264,-0.1581,-0.2241,1.4074,0.6756,0.6845,0.0026,-0.6606,0.4862,-0.2159,-0.9872,-0.3562,-0.4314,-1.1481,-0.1762,-0.3868,0.3834,0.5746,-0.1039,-0.0347,-0.1375,-0.859,0.2747,1.894,0.4766,-0.7248,-0.4963,0.4903,-0.1787,-0.3666,0.0812,-0.4689,-0.0181,0.296,-0.1032,0.54,-0.2111,-0.3184,0.0567,0.5173,0.2508,-0.4789,0.915
"PA14_48350",0.0149,0.0154,0.2177,0.3952,0.9289,0.1202,0.0483,1.0349,0.5606,0.3092,0.1974,0.5431,0.9609,0.9666,-0.1225,0.3095,-0.8647,-0.8444,-0.2038,0.9577,1.4104,0.9468,-0.5763,-0.7461,-0.8368,-0.1327,-1.1544,-0.3314,0.9037,1.3358,-0.3276,-0.1954,-0.0495,-0.6982,-0.7407,-0.1158,-0.4292,0.0911,0.1671,-0.5836,0.7985,-0.1047,0.9258,0.6959,1.0191,-0.3915,-0.3978,-0.1279,1.1271,0.1498,0.4153,-0.1551,-0.302,0.2784,0.2623,-1.392,-0.0132,0.3115,-0.161,-0.8882,0.2955,0.6667,-0.087,0.2405,-0.1068,-0.0994,-0.3508,0.5449,0.2245,-0.395,-0.1795,-0.2538,-0.1771,-0.6295,-1.0467,-0.2798,-0.0089,-0.0319,0.2012,-0.6883,0.4478,-0.0562,-0.0961,-0.0206,0.0619,-0.0572,-0.4118
"PA14_48380",-0.2215,-0.4877,-0.0161,0.2539,0.5007,0.1465,0.0622,0.5146,0.254,-0.0704,-0.5046,-0.207,1.4233,0.3974,-0.5231,-0.3074,-0.6946,0.3059,0.8083,-0.3584,-0.53,0.1599,0.182,-0.5966,-0.6946,0.7153,0.1925,0.0135,0.6665,0.4482,0.5307,0.0506,-0.0022,0.7898,-0.0642,-0.2007,-0.3133,0.131,0.6846,-0.6946,-0.0805,0.1095,0.2365,-0.1536,0.2575,-0.2012,0.6458,-0.6946,-0.1606,-0.1649,-0.2851,0.0431,0.4245,0.2608,-0.1663,0.2562,-0.1253,0.5476,-0.394,-0.4958,0.1912,0.2012,1.0561,0.0257,-0.0796,-0.3239,0.3898,1.8197,-0.1791,-0.5171,0.3005,-0.154,0.3024,-0.4881,-0.4437,-0.1967,-0.3139,-0.0353,-0.4093,0.3769,-0.1206,-0.5009,0.6851,-0.1589,-0.6946,0.8053,-0.1761
"PA14_48390",-0.1259,-0.1876,1.5047,-0.7264,-1.0121,-0.8555,0.4424,1.359,1.0047,-0.1951,0.2067,1.6107,1.2735,0.3732,0.5859,0.4808,0.4443,-0.0146,1.3063,0.5341,0.5443,0.8538,0.258,0.6701,0.1355,-0.897,1.2318,-0.6095,-1.0583,-0.2221,2.0234,-0.4971,-0.0165,-0.6886,-0.7252,-0.0875,0.0968,0.5394,0.57,-0.1609,-1.0993,0.713,0.195,0.2134,-0.0442,0.1473,0.3444,-0.2422,0.4233,0.3692,1.0655,0.6004,-0.0333,-0.7148,-0.601,0.5091,0.48,2.1653,-0.7204,-0.7031,0.2137,0.968,1.2734,-0.2747,0.0755,0.143,-1.057,1.0208,-0.167,-0.6475,-0.3887,1.2918,1.5131,1.1858,-0.0526,-1.9013,-0.9235,-1.0619,0.022,-0.6046,-0.7193,-0.1677,-1.5139,0.1114,-1.386,-0.1299,1.215
"PA14_48400",0.1145,0.6195,1.1393,0.2897,-2.8955,-0.0839,0.2749,-0.3617,3.9279,0.6105,-1.1505,-1.2926,-1.5575,-0.9378,-1.2835,0.4773,-0.1393,0.3106,0.798,-0.3346,0.8485,-0.3534,0.6171,0.7996,-0.8975,0.8971,0.4735,-0.2026,0.2255,-1.7633,0.6613,-0.4919,0.0761,0.3776,-0.6071,-1.6247,-0.831,0.4865,3.2723,0.4202,-1.26,-0.4804,1.6227,-0.5158,-0.8103,0.2202,0.7724,0.0527,0.47,0.6995,-1.4967,0.8527,0.6698,-0.0361,-0.8607,1.0231,-0.1669,0.305,0.2637,-1.6644,-0.8213,-1.1972,1.2466,0.0707,0.1409,-1.2596,0.4854,1.5972,-0.0989,-0.3677,0.2557,0.4554,-0.6694,-0.4196,-0.3866,-0.5601,-1.7477,-0.7713,-1.5626,-0.2689,-0.8895,-0.1965,0.5465,-0.0994,-0.6283,0.1316,-0.1349
